,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
4209,5827,445,facs,3m,18m,female,Liver,,,Sox18,6.481328010559082,1.303142312281125e-06,0.0001164303976111114,0.0003637852205429226,5.329390590920048e-08,P43680,
4210,35566,67,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Csf1,-6.4806742668151855,8.978187543107197e-05,1.0053350933958427e-06,0.00013117949129082263,9.370447811721454e-08,P07141,
4211,19869,629,droplet,24m,30m,male,Liver,,,Ugt2b36,-6.48037052154541,0.00041707651689648634,4.671212991524953e-06,0.0005034388159401715,7.595809550070123e-14,,
4212,15354,622,droplet,3m,30m,male,Lung,,,1810010H24Rik,-6.4792561531066895,0.0002223666378995404,2.492407702447963e-06,0.0003611441352404654,4.902900486902707e-174,,
4213,5828,446,facs,3m,18m,female,Liver,,,Gimap1,6.479153633117676,5.05967818753561e-06,0.00045138029963709403,0.0007886611856520176,7.830437323952497e-33,P70224,
4214,15355,623,droplet,3m,30m,male,Lung,,,Mmp23,-6.479139804840088,4.908359187538736e-05,5.501993882717214e-07,0.00015582120977342131,7.991857601366463e-40,O88676,
4215,15356,624,droplet,3m,30m,male,Liver,,,AI317395,-6.47847318649292,3.155975355184637e-05,3.5393026109886705e-07,9.107140067499132e-05,1.294292161938755e-07,,
4216,15357,625,droplet,3m,30m,male,Liver,,,Marcksl1,6.478039741516112,7.826874025340658e-06,0.0006977063603699207,0.0007137154461815952,0.0,P28667,
4217,19870,630,droplet,24m,30m,male,Kidney,,,Slc5a11,6.477738380432129,2.858989205378748e-07,2.5480472686467692e-05,7.678998372284696e-05,4.825199068200393e-64,Q8K0E3,
4218,2995,570,droplet,3m,24m,male,Kidney,,,Aqp3,-6.4775142669677725,0.0001263191079488024,1.417563794348098e-06,0.0006178422481752933,3.0658349394423326e-07,Q8R2N1,
4219,15358,626,droplet,3m,30m,male,Liver,,,Csrp3,-6.4770164489746085,4.6627737901872024e-05,5.23440405686415e-07,0.00011638103023869917,1.176388407278863e-11,P50462,
4220,15359,627,droplet,3m,30m,male,Liver,,,Cotl1,6.476699352264403,8.484711543133017e-06,0.0007556452183052897,0.00045499598491005594,0.0,Q9CQI6,
4221,15360,628,droplet,3m,30m,male,Lung,,,Ppp1r14a,-6.476492881774902,0.000672609661705792,7.553433079010574e-06,0.0008309047552756965,1.7940471872539455e-307,Q91VC7,
4222,19871,631,droplet,24m,30m,male,Kidney,,,Spats2l,6.476208686828612,8.927314354423287e-08,7.948015081638005e-06,3.857465708279051e-05,3.8965143182984146e-07,Q91WJ7,
4223,2996,571,droplet,3m,24m,male,Kidney,,,Faim3,6.4761595726013175,6.480005595221883e-06,0.0005768910050392151,0.0008251260151155293,0.0,,
4224,15361,629,droplet,3m,30m,male,Liver,,,Lrrc33,6.476016521453857,1.3569994052886614e-06,0.00012079675070708618,0.00012083959154551849,0.0,,
4225,35276,533,facs,3m,24m,male,Marrow,Granulocytes,granulocyte monocyte progenitor cell,Gm6981,6.475863456726074,7.976683491506266e-07,7.099896902218461e-05,2.760072129603941e-05,3.3345990249309964e-06,,
4226,30109,15,droplet,3m,21m,female,Mammary_Gland,,luminal epithelial cell of mammary gland,Col17a1,6.475489139556885,4.5830262251911346e-07,4.0782117139315226e-05,0.00010206768638454378,4.86714183445163e-12,Q07563,
4227,39873,68,facs,18m,24m,male,Heart,LV,B cell,Emp3,6.47430944442749,1.3366356142796574e-05,0.0011884320992976427,0.0010550606530159712,1.927198583365146e-10,O35912,
4228,28782,185,facs,3m,18m,female,Trachea,,chondrocyte,Ppp2r4,-6.474067211151122,7.170312892412767e-05,8.065829888437294e-07,0.00010767333878902718,1.733248902858935e-09,,
4229,15362,630,droplet,3m,30m,male,Lung,,,Gng8,-6.4739203453063965,2.9313157938304357e-05,3.2977450814541953e-07,9.319233504356816e-05,5.8270233556378175e-34,P63078,
4230,19872,632,droplet,24m,30m,male,Liver,,,Serpina10,-6.473857879638673,0.00010952804586850108,1.2322519751251093e-06,0.0001672522776061669,2.6640978211240357e-07,Q8R121,
4231,2997,572,droplet,3m,24m,male,Kidney,,,Grtp1,-6.473294258117676,2.500742266420275e-05,2.814567494624498e-07,7.158778316807002e-05,7.119320367268311e-22,Q9D3N8,
4232,19873,633,droplet,24m,30m,male,Kidney,,,Khdrbs3,6.472951889038086,1.1601250804460507e-07,1.0305312571290416e-05,4.910634743282571e-05,2.6078171856308647e-12,Q9R226,
4233,41677,203,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,,Atg4c,-6.472934246063232,2.9704617190873247e-05,3.344069625654811e-07,7.756327977403998e-05,6.989827796712245e-12,Q811C2,
4234,15363,631,droplet,3m,30m,male,Lung,,,Cpt1c,-6.471391677856445,1.4540098163706714e-05,1.638633051470606e-07,6.258297798922285e-05,7.154565691749728e-13,Q8BGD5,
4235,34072,186,facs,3m,18m,female,SCAT,Fat,epithelial cell,Acot1,-6.470816612243652,0.0006326402071863412,7.132581686164485e-06,0.00048537962720729416,6.320121564723287e-08,O55137,
